AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,marzo,Aventura,Conboleto ,Caraz,Huaylas,Paron,Paron,Turismo,0,extranjero,65
2017,marzo,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,Turismo,0,nacional,30
2017,marzo,Aventura,exonerado,Caraz,Huaylas,Paron,Paron,Turismo,0,extranjero,65
2017,marzo,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,Turismo,2,nacional,30
2017,marzo,Aventura,Conboleto ,Cashapampa,Sihuas,Cashapampa,Cashapampa,Turismo,29,extranjero,65
2017,marzo,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,Turismo,0,nacional,30
2017,marzo,Aventura,exonerado,Cashapampa,Sihuas,Cashapampa,Cashapampa,Turismo,0,extranjero,65
2017,marzo,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,escaladaalnevadoArtesonraju,0,nacional,30
2017,marzo,Aventura,Conboleto ,SanMarcos,Huari,Huaripampa,Huaripampa,escaladaalnevadoArtesonraju,197,extranjero,65
2017,marzo,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,escaladaalnevadoArtesonraju,0,nacional,30
2017,marzo,Aventura,exonerado,SanMarcos,Huari,Huaripampa,Huaripampa,escaladaalnevadoArtesonraju,0,extranjero,65
2017,abril,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna81,trekking Santa Cruz - Huaripampa,7176,nacional,30
2017,abril,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna82,trekkingSantaCruzHuaripampa,1732,extranjero,65
2017,abril,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna83,trekkingSantaCruzHuaripampa,336,nacional,30
2017,abril,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna84,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,abril,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,trekkingSantaCruzHuaripampa,64,nacional,30
